aluminium,arsenic,cadmium,chloramine,chromium,is_safe
1.65,0.04,0.007,0.35,0.83,1
2.32,0.01,0.002,5.28,0.68,1
1.01,0.04,0.008,4.24,0.53,0
1.36,0.04,0.001,7.23,0.03,1
0.92,0.03,0.006,2.67,0.69,1
0.94,0.03,0.003,0.8,0.43,1
2.36,0.01,0.004,1.28,0.62,0
3.93,0.04,0.001,6.22,0.1,0
0.6,0.01,0.005,3.14,0.77,1
0.22,0.02,0.007,6.4,0.49,1
3.27,0.001,0.005,5.75,0.15,0
1.35,0.04,0.002,0.1,0.76,1
1.88,0.02,0.008,0.05,0.42,1
4.93,0.04,0.008,0.7,0.51,1
2.89,0.05,0.008,5.99,0.54,1
0.61,0.03,0.002,1.94,0.77,1
3.47,0.02,0.001,5.29,0.47,1
2.11,0.02,0.009,7.78,0.88,1
4.88,0.02,0.001,1.21,0.68,0
4.12,0.02,0.006,0.01,0.41,1
0.68,0.001,0.006,4.57,0.2,1
1.15,0.02,0.007,3.47,0.65,1
0.27,0.02,0.001,3.74,0.12,1
4.32,0.03,0.008,7.24,0.61,0
2.36,0.01,0.003,4.07,0.13,0
3.31,0.03,0.001,7.22,0.73,1
1.82,0.01,0.006,2.55,0.25,1
3.42,0.001,0.003,2.87,0.73,0
4.41,0.03,0.007,6.63,0.62,1
4.57,0.01,0.002,2.78,0.72,0
1.69,0.001,0.002,5.87,0.78,1
1.87,0.05,0.008,2.86,0.52,1
2.71,0.04,0.006,4,0.17,1
1.63,0.03,0.008,4.25,0.74,0
0.01,0.001,0.007,7.75,0.68,0
4.49,0.05,0.005,4.55,0.32,1
3.52,0.03,0.006,4.94,0.76,1
4.35,0.02,0.004,0.64,0.61,1
2.51,0.04,0.002,2.86,0.87,0
2.34,0.03,0.006,4.3,0.26,0
1.71,0.05,0.006,2.24,0.9,0
3.45,0.01,0.004,2.4,0.36,0
3.37,0.04,0.003,2.9,0.84,1
3.13,0.001,0.001,3.58,0.68,0
0.29,0.02,0.007,2.99,0.11,0
1.51,0.02,0.003,5.71,0.88,1
1.09,0.01,0.001,1.26,0.85,0
0.94,0.01,0.008,5.38,0.72,0
2.68,0.04,0.002,0.22,0.09,1
0.3,0.001,0.007,6.11,0.35,1
0.23,0.001,0.002,0.68,0.47,1
2.55,0.04,0.004,7.7,0.82,1
0.86,0.04,0.003,5.47,0.04,0
4.32,0.04,0.001,7.97,0.32,1
0.24,0.04,0.008,6.19,0.49,1
3.63,0.03,0.007,4.08,0.81,0
3.26,0.05,0.008,2.49,0.51,0
0.42,0.01,0.008,0.9,0.83,1
0.77,0.05,0.006,4.5,0.04,1
0.6,0.001,0.002,0.88,0.64,1
0.58,0.02,0.007,1.13,0.53,1
3.82,0.01,0.001,3.85,0.23,1
2.78,0.02,0.009,6.16,0.47,1
3.62,0.001,0.003,7.06,0.45,1
3.88,0.01,0.008,3.43,0.02,0
4.64,0.03,0.008,4.4,0.89,1
2.25,0.02,0.002,4.89,0.36,1
0.54,0.02,0.001,6.57,0.89,1
4.62,0.04,0.005,2.15,0.71,1
2.5,0.01,0.004,2.38,0.26,1
3.08,0.05,0.003,4.77,0.03,1
3.03,0.01,0.005,7.81,0.41,0
2.85,0.02,0.007,2.79,0.6,0
1.38,0.04,0.006,1.78,0.03,0
2.73,0.02,0.005,1.97,0.74,1
3.02,0.001,0.004,3.4,0.29,1
1.96,0.001,0.008,4.41,0.71,0
2.35,0.02,0.009,5.27,0.01,1
2.45,0.02,0.004,3.35,0.77,1
2.67,0.02,0.004,2.69,0.31,0
1.12,0.04,0.007,6.06,0.68,0
3.3,0.04,0.008,7.56,0.22,1
0.43,0.01,0.005,3.55,0.65,0
1.19,0.01,0.008,0.13,0.18,1
0.85,0.05,0.006,7.52,0.89,1
4.64,0.04,0.007,6.57,0.41,0
0.5,0.03,0.004,3.57,0.85,1
4.75,0.02,0.002,1.28,0.52,0
1.89,0.05,0.001,6.02,0.33,1
3.75,0.04,0.006,1.12,0.38,1
3.32,0.03,0.008,6.1,0.23,0
1.75,0.01,0.001,0.19,0.51,1
0.94,0.01,0.005,1.85,0.15,1
2.66,0.01,0.005,3.32,0.79,0
2.76,0.02,0.005,4.25,0.19,1
0.43,0.03,0.001,2.38,0.17,1
2.63,0.02,0.007,1.89,0.69,1
2.85,0.03,0.004,0.46,0.02,0
0.04,0.02,0.001,4.8,0.33,0
0.88,0.04,0.009,4.59,0.85,1
3.03,0.05,0.006,6.25,0.61,1
2.22,0.03,0.006,4.54,0.72,0
4.91,0.04,0.005,5.22,0.84,1
1.15,0.02,0.005,1.86,0.81,1
4.8,0.05,0.006,7.37,0.46,1
0.47,0.02,0.006,7.36,0.15,0
1.62,0.01,0.001,3.07,0.11,1
2.68,0.02,0.007,2.89,0.69,1
0.09,0.04,0.001,3.58,0.47,1
4.66,0.04,0.001,6.75,0.09,1
2.74,0.02,0.005,7.97,0.25,1
1.79,0.03,0.001,3.2,0.42,0
2.5,0.03,0.005,3.11,0.52,0
3.52,0.04,0.007,1.33,0.32,1
4.15,0.001,0.006,4.43,0.84,0
3.78,0.05,0.006,6.6,0.7,0
1.82,0.01,0.009,0.63,0.3,1
2.91,0.02,0.008,5.07,0.33,1
4.3,0.03,0.008,5.14,0.29,0
3.24,0.001,0.002,0.4,0.24,0
3.53,0.04,0.002,4.13,0.7,1
3.04,0.05,0.001,2.52,0.46,1
2.21,0.02,0.008,3.71,0.47,1
2.47,0.04,0.008,2.78,0.04,0
1.92,0.03,0.008,1.87,0.16,1
1.22,0.04,0.001,4.43,0.63,0
2.12,0.001,0.003,4.3,0.82,1
4.19,0.05,0.006,7.09,0.47,0
4.21,0.01,0.008,2.26,0.03,1
4.07,0.01,0.003,0.41,0.39,0
2.56,0.04,0.003,3.42,0.03,1
3.55,0.03,0.005,0.01,0.34,0
3.94,0.04,0.006,5.65,0.08,1
1.22,0.01,0.001,5.72,0.45,1
0.8,0.03,0.002,0.89,0.2,1
3.31,0.04,0.002,1.57,0.45,1
2.59,0.01,0.003,2.74,0.8,1
3.9,0.001,0.008,0.79,0.34,1
3.15,0.01,0.003,7.8,0.4,0
0.18,0.04,0.005,3.49,0.8,0
3.86,0.01,0.003,3.83,0.14,0
1.25,0.001,0.006,3.81,0.15,0
0.18,0.04,0.006,1.69,0.27,1
2.29,0.01,0.006,5.07,0.19,0
0.07,0.01,0.002,6.21,0,1
2.71,0.01,0.003,1.07,0.13,1
4.18,0.05,0.003,0.5,0.77,0
4.34,0.02,0.005,3.95,0.8,1
0.92,0.04,0.004,7.59,0.19,1
2.39,0.02,0.005,0.98,0.23,1
0.9,0.05,0.001,4.95,0.15,1
0.89,0.03,0.008,0.8,0.26,1
2.4,0.03,0.002,5.29,0.3,0
4.91,0.02,0.001,2.45,0.19,1
3.37,0.05,0.004,1.36,0.68,1
3.08,0.03,0.003,0.05,0.03,0
3.69,0.05,0.008,6.5,0.8,1
4.71,0.02,0.003,6.75,0.43,1
3.36,0.03,0.002,4.68,0.35,0
4.46,0.02,0.004,5.1,0.38,0
4.5,0.02,0.009,3.61,0.59,1
0.57,0.04,0.006,4.23,0.49,0
2.69,0.02,0.005,0.81,0.33,1
4.3,0.01,0.004,4.06,0.28,1
2.17,0.01,0.002,4.42,0.76,1
1.32,0.01,0.001,7.95,0.03,0
2.59,0.001,0.002,6.45,0.07,0
5,0.05,0.005,0.09,0.19,1
2.6,0.03,0.003,3.26,0.26,1
0.35,0.01,0.004,0.85,0.59,1
3.83,0.01,0.003,7.12,0.13,1
2.9,0.05,0.005,3.69,0.37,1
1.56,0.02,0.008,3.41,0.21,1
4.34,0.04,0.005,3.1,0.79,1
2.23,0.02,0.001,1.53,0.86,1
3.81,0.02,0.003,2.4,0.05,1
2.75,0.001,0.004,1.67,0.77,0
0.81,0.04,0.002,2.13,0.41,0
1.12,0.01,0.003,3.08,0.66,1
4,0.01,0.001,7.91,0.32,1
4.08,0.04,0.007,5.23,0.86,0
1.55,0.01,0.006,0.07,0.84,1
2.42,0.03,0.001,6.2,0.03,0
2.56,0.03,0.004,5.48,0.33,1
2.99,0.03,0.007,0.67,0.72,1
1.36,0.04,0.005,3.91,0.49,1
1.43,0.03,0.001,5.07,0.05,0
3.83,0.04,0.003,4.95,0.22,1
1.66,0.03,0.001,4.98,0.55,0
0.47,0.02,0.001,0.4,0.21,1
3.38,0.01,0.002,0.97,0.18,0
0.01,0.04,0.009,4.69,0.65,1
3.62,0.01,0.004,1.49,0.86,1
4.42,0.04,0.003,0.54,0.63,0
3.43,0.05,0.003,4.4,0.09,0
3.65,0.02,0.007,2.8,0.34,0
4.86,0.001,0.008,7.47,0.79,0
2.82,0.03,0.007,2.91,0.51,1
1.05,0.01,0.005,0.88,0.04,1
0.73,0.04,0.001,5.92,0.71,0
1.21,0.03,0.007,6.8,0.09,1
2.15,0.01,0.001,1.81,0.11,0
3.6,0.001,0.004,2.45,0.67,0
2.67,0.03,0.001,3.58,0.7,0
1.73,0.02,0.002,3.91,0.07,0
3.35,0.02,0.006,7.51,0.28,1
0.37,0.001,0.008,0.92,0.79,0
2.11,0.03,0.002,6.29,0.41,0
0.79,0.02,0.003,5.54,0.21,0
1.75,0.05,0.001,5.92,0.47,1
0.99,0.04,0.008,2.58,0.65,0
1.86,0.03,0.006,5.83,0.85,1
4.84,0.001,0.004,7.88,0.27,0
3.09,0.001,0.002,4.37,0.33,0
0.54,0.02,0.003,5.17,0.86,1
0.29,0.02,0.007,6.13,0.87,1
1.72,0.03,0.005,6.9,0.77,0
3.29,0.01,0.006,4.36,0.36,1
2.59,0.001,0.009,7.14,0.38,0
0.22,0.05,0.006,5.25,0.06,1
0.11,0.01,0.007,7.41,0.23,0
2.35,0.03,0.005,7.24,0.47,1
4.04,0.02,0.004,4.54,0.24,1
3.6,0.03,0.003,1.44,0.08,1
3.71,0.03,0.004,0,0.54,1
0.61,0.05,0.002,7.33,0.43,1
0.79,0.03,0.008,1.02,0.04,0
3.79,0.01,0.001,6.81,0.03,0
3.05,0.03,0.005,5.99,0.86,1
0.84,0.03,0.003,4.62,0.72,1
1.98,0.001,0.005,3.62,0.79,1
4.18,0.03,0.004,5.23,0.68,1
3.27,0.01,0.005,4.57,0.23,1
0.59,0.04,0.007,6.69,0.17,1
0.36,0.02,0.003,6.52,0.32,1
1.4,0.04,0.008,0.83,0.52,1
1.46,0.01,0.002,6.93,0.4,1
2.02,0.001,0.002,4.73,0.41,0
0,0.02,0.005,0.68,0.3,0
0.93,0.05,0.002,5.34,0.88,1
4,0.02,0.008,0.89,0.52,0
0.78,0.01,0.008,2.84,0.06,1
4.48,0.05,0.008,6.11,0.14,1
0.71,0.04,0.003,3.45,0.69,1
0.06,0.03,0.007,5.21,0.73,0
0.87,0.04,0.003,3.71,0.12,1
1.44,0.01,0.006,2.79,0.02,0
2.69,0.001,0.005,2.1,0.74,1
1.21,0.04,0.007,1.83,0.56,1
4.36,0.02,0.008,6.81,0.87,1
2.83,0.04,0.004,4.06,0.42,0
2.58,0.04,0.001,5.42,0.73,0
0.57,0.04,0.001,7.02,0.63,1
2.14,0.04,0.008,7.96,0.76,1
0.15,0.03,0.002,7.07,0.52,1
2.01,0.04,0.004,6.55,0.06,1
1.72,0.02,0.004,6.76,0.28,1
2.18,0.04,0.001,1.66,0.33,0
4.38,0.01,0.003,3.5,0.1,1
1.75,0.02,0.003,7.16,0.15,0
1.89,0.04,0.002,6.04,0.68,0
2.9,0.01,0.003,6.47,0.08,0
3.73,0.02,0.004,6.99,0.61,1
2.97,0.01,0.008,1.37,0.65,1
3.85,0.02,0.005,7.75,0.06,0
2.32,0.05,0.009,3.47,0.4,1
3.95,0.04,0.007,7.17,0.01,1
2.06,0.04,0.001,2.16,0.55,0
2.22,0.01,0.009,6.68,0.8,1
3.84,0.01,0.004,1.48,0.18,1
3.97,0.02,0.008,1.09,0.4,1
4.44,0.03,0.003,0.57,0.32,0
3.73,0.04,0.008,1.87,0.69,1
2.71,0.05,0.005,4.6,0.04,1
3.24,0.03,0.003,5.67,0.68,1
2.96,0.01,0.009,4.01,0.16,0
3.85,0.01,0.007,3.74,0.41,1
2.91,0.03,0.007,5.06,0.47,1
3.44,0.01,0.001,0.75,0.39,1
4.41,0.01,0.004,7.55,0.33,0
2.2,0.04,0.006,0.76,0.85,1
1.14,0.01,0.007,1.77,0.76,1
0,0.03,0.007,3.61,0.26,1
1.14,0.04,0.003,1.63,0.58,1
0.09,0.04,0.007,5.61,0.2,1
2.9,0.05,0.003,3.33,0.3,1
1.35,0.001,0.007,2.74,0.04,0
2.37,0.03,0.001,1.98,0.78,0
0.13,0.04,0.006,0.49,0.25,0
3.93,0.01,0.004,1.6,0.61,0
4.07,0.001,0.004,6.56,0.18,1
3.97,0.03,0.008,6.78,0.12,0
1.44,0.03,0.006,3.04,0.19,1
3.89,0.01,0.008,1.26,0.04,1
2.09,0.001,0.004,5.95,0.02,1
4.79,0.03,0.003,4.38,0.28,1
2.54,0.02,0.003,7.83,0.03,0
0.19,0.02,0.001,7.43,0.05,1
4.77,0.04,0.002,0.71,0.1,1
3.81,0.001,0.005,6.03,0.45,1
1.51,0.02,0.006,5.58,0.12,0
0.76,0.03,0.002,3,0.18,1
3.36,0.03,0.006,3.25,0.86,1
4.27,0.001,0.004,4.79,0.2,1
1.9,0.04,0.005,5.23,0.22,1
1.44,0.03,0.008,3.49,0.13,1
4.26,0.02,0.002,3.48,0.78,1
3.19,0.04,0.006,6.66,0.6,1
1.24,0.05,0.004,6.84,0.67,1
3.36,0.001,0.008,7.58,0.71,1
3.29,0.05,0.008,3.95,0.56,1
1.67,0.04,0.003,2.63,0.4,0
2.94,0.03,0.004,2.2,0.88,1
0.49,0.04,0.005,2.11,0.65,1
4.1,0.001,0.007,7.99,0.83,0
2.82,0.04,0.004,4.78,0.38,1
2.74,0.03,0.002,4.73,0.41,0
4.19,0.05,0.004,2.37,0.76,1
4.68,0.05,0.001,5.68,0.77,0
2.26,0.02,0.003,0.19,0.65,1
1.2,0.05,0.003,6.49,0.82,0
3.05,0.01,0.001,4.22,0.01,1
0.78,0.02,0.005,1.91,0.54,1
1.56,0.01,0.007,6.37,0.54,0
3.36,0.02,0.001,3.67,0.17,0
3.12,0.001,0.002,7.89,0.43,0
3.67,0.02,0.002,5.4,0.1,1
2.94,0.03,0.001,2.21,0.57,1
0.93,0.02,0.004,1.42,0.77,1
3.59,0.01,0.007,4.84,0.24,1
3.46,0.01,0.006,3.7,0.49,1
4.81,0.04,0.007,3.79,0.64,0
2.79,0.04,0.005,6.89,0.56,1
3.49,0.01,0.006,0.29,0.74,0
1.77,0.02,0.001,7.18,0.49,1
2.7,0.04,0.007,0.71,0.48,0
4.35,0.04,0.003,3.44,0.84,0
4.53,0.04,0.002,2.67,0.46,0
0.39,0.02,0.005,4.02,0.15,1
1.07,0.04,0.006,6.12,0.49,1
0.62,0.03,0.003,7.12,0.06,1
4.64,0.01,0.005,0.1,0.57,1
1.09,0.04,0.003,1.27,0.38,1
2.5,0.02,0.003,0.83,0.36,1
3.96,0.04,0.004,7.65,0.3,1
0.14,0.05,0.007,1.37,0.49,0
3.49,0.03,0.003,3.67,0.14,1
0.43,0.01,0.007,6.62,0.17,0
3.46,0.01,0.001,2.13,0.46,1
2.89,0.01,0.002,2.5,0.62,1
0.27,0.03,0.001,5.98,0.32,1
2.17,0.03,0.002,6.29,0.35,0
0.9,0.001,0.008,4.76,0.17,1
0.83,0.05,0.001,6.98,0.05,1
0.72,0.01,0.001,3.23,0.07,1
3.12,0.03,0.006,1.87,0.07,1
3.98,0.02,0.001,7.18,0.07,1
4.39,0.02,0.005,4.93,0.62,1
1.09,0.02,0.002,3.03,0.25,1
4.44,0.03,0.003,5.6,0.37,1
4.56,0.03,0.008,7,0.63,0
3.06,0.02,0.004,6.59,0.58,0
0.78,0.01,0.006,1.8,0.53,1
2.06,0.02,0.006,3.05,0.32,1
2.92,0.02,0.004,2.17,0.21,0
0.95,0.01,0.003,1.7,0.47,1
0.18,0.01,0.008,2.95,0.47,0
2.24,0.03,0.001,7.51,0.4,1
4,0.02,0.003,0.73,0.47,1
0.39,0.05,0.006,7.44,0.65,1
3.18,0.04,0.007,6.3,0.31,0
2.61,0.02,0.008,0.53,0.8,0
2.33,0.04,0.008,6.37,0.89,1
2.54,0.01,0.002,4.52,0.18,1
1.93,0.001,0.009,4.99,0.67,1
4.52,0.04,0.001,1.12,0.17,0
3.91,0.01,0.002,4.41,0.18,1
4.58,0.04,0.008,6.69,0.51,0
3.09,0.05,0.006,5.66,0.01,1
3.05,0.05,0.001,4.95,0.64,0
4.53,0.01,0.001,6.17,0.11,1
4.71,0.05,0.007,1.54,0.82,1
1.81,0.04,0.001,4.34,0.69,1
4.62,0.001,0.002,3.31,0.4,1
4.18,0.03,0.002,2.2,0.29,1
1.12,0.01,0.001,7.38,0.3,1
0.19,0.03,0.006,6.25,0.88,0
0.14,0.03,0.007,4.86,0.66,1
3.01,0.04,0.004,4.78,0.04,1
2.16,0.01,0.003,6.37,0.1,0
3.39,0.04,0.008,1.94,0.51,0
1.01,0.03,0.005,7.82,0.26,0
3.51,0.03,0.001,4.16,0.36,1
2.2,0.01,0.004,4.87,0.35,0
1.4,0.04,0.009,1.1,0.65,1
1.77,0.001,0.007,2.05,0.1,1
1.08,0.03,0.003,5.81,0.26,0
1.99,0.04,0.001,1.68,0.35,1
0.84,0.04,0.005,1.75,0.33,1
1.53,0.04,0.001,6.31,0.55,0
2.14,0.01,0.007,5.23,0.3,1
3.93,0.04,0.001,7.93,0.83,1
4.73,0.04,0.006,3.09,0.37,1
3.69,0.05,0.009,7.24,0.4,1
3.01,0.02,0.008,1.41,0.46,1
1.15,0.04,0.005,3.01,0.65,1
4.66,0.02,0.003,6.9,0.32,1
2.13,0.001,0.002,7.85,0.89,0
4.73,0.04,0.003,3.15,0.37,1
0.09,0.02,0.003,7.34,0.5,0
2.33,0.04,0.006,6.06,0.46,1
1.34,0.04,0.003,5.3,0.2,1
3.62,0.02,0.009,4.33,0.71,1
1.82,0.04,0.001,3.23,0.56,1
1.79,0.04,0.001,0.26,0.7,1
0.18,0.03,0.004,7.25,0.84,1
3.01,0.01,0.002,4.62,0.61,1
3.68,0.02,0.004,6.64,0.59,0
2.04,0.03,0.005,5.98,0.7,1
1.45,0.03,0.006,7.97,0.53,0
2.8,0.04,0.006,3.67,0.29,1
3.34,0.05,0.005,4.49,0.73,1
1.92,0.03,0.001,1.19,0.02,1
2.52,0.001,0.005,0.8,0.15,0
0.93,0.01,0.001,3.66,0.85,1
4.07,0.03,0.001,3.65,0.33,0
2.46,0.02,0.002,7.17,0.5,1
0.22,0.03,0.007,0.48,0.32,0
1.36,0.05,0.005,2.2,0.3,1
1.77,0.04,0.007,6.12,0.65,1
3.92,0.03,0.006,4.37,0.2,0
2.92,0.03,0.001,4.91,0.66,1
1.38,0.001,0.008,5.38,0.2,1
1.55,0.01,0.002,7.83,0.16,1
2.78,0.02,0.008,6.44,0.45,1
4.69,0.02,0.001,5.56,0.16,0
0.63,0.02,0.003,5.61,0.58,1
0.24,0.01,0.001,2.59,0.73,1
3.79,0.01,0.005,2.99,0.72,1
3,0.04,0.001,1.64,0.04,1
4.79,0.02,0.007,5.42,0.58,1
4.31,0.01,0.008,7.35,0.52,0
2.64,0.01,0.005,4.86,0.35,1
3.69,0.001,0.005,2.55,0.88,0
1.36,0.04,0.008,0.63,0.36,1
0.65,0.001,0.001,5.17,0.37,1
0.24,0.02,0.003,0.45,0.57,1
2.65,0.001,0.007,4.08,0.82,1
4.84,0.001,0.005,4.81,0.67,1
4.29,0.01,0.002,0.17,0.5,1
3.44,0.05,0.001,4.18,0.12,0
0.95,0.01,0.007,4.9,0.82,0
2.62,0.01,0.006,0.59,0.27,0
4.3,0.05,0.001,6.1,0.7,1
4.13,0.02,0.001,1.77,0.34,1
0.45,0.001,0.003,7,0.57,0
2.01,0.01,0.006,6.42,0.33,1
2.02,0.03,0.001,0.88,0.73,1
3.81,0.04,0.002,4.27,0.52,1
4.35,0.05,0.005,6.95,0.85,1
4.04,0.02,0.009,1.41,0.01,0
4.39,0.03,0.007,3.99,0.19,1
0.99,0.03,0.002,7.96,0.2,1
3.38,0.03,0.003,2.38,0.01,1
1.66,0.03,0.009,2.83,0.09,1
0.33,0.03,0.005,2.46,0.24,1
1.65,0.02,0.007,7.78,0.61,1
